id,prediction
001_0_0,0
001_0_16,0
001_0_32,0
001_0_48,0
001_0_64,0
001_0_80,0
001_0_96,0
001_0_112,0
001_0_128,0
001_0_144,0
001_0_160,0
001_0_176,0
001_0_192,0
001_0_208,0
001_0_224,1
001_0_240,0
001_0_256,0
001_0_272,0
001_0_288,0
001_0_304,0
001_0_320,1
001_0_336,1
001_0_352,1
001_0_368,1
001_0_384,1
001_16_0,0
001_16_16,0
001_16_32,0
001_16_48,0
001_16_64,0
001_16_80,0
001_16_96,0
001_16_112,0
001_16_128,0
001_16_144,0
001_16_160,0
001_16_176,1
001_16_192,1
001_16_208,1
001_16_224,1
001_16_240,0
001_16_256,0
001_16_272,0
001_16_288,0
001_16_304,1
001_16_320,1
001_16_336,1
001_16_352,1
001_16_368,1
001_16_384,1
001_32_0,0
001_32_16,0
001_32_32,0
001_32_48,0
001_32_64,0
001_32_80,0
001_32_96,0
001_32_112,0
001_32_128,0
001_32_144,0
001_32_160,0
001_32_176,1
001_32_192,1
001_32_208,1
001_32_224,1
001_32_240,1
001_32_256,0
001_32_272,1
001_32_288,1
001_32_304,1
001_32_320,1
001_32_336,1
001_32_352,1
001_32_368,1
001_32_384,1
001_48_0,0
001_48_16,0
001_48_32,0
001_48_48,0
001_48_64,0
001_48_80,0
001_48_96,0
001_48_112,0
001_48_128,0
001_48_144,0
001_48_160,0
001_48_176,1
001_48_192,1
001_48_208,1
001_48_224,1
001_48_240,1
001_48_256,1
001_48_272,1
001_48_288,1
001_48_304,1
001_48_320,1
001_48_336,1
001_48_352,1
001_48_368,1
001_48_384,1
001_64_0,0
001_64_16,0
001_64_32,0
001_64_48,0
001_64_64,0
001_64_80,0
001_64_96,0
001_64_112,0
001_64_128,0
001_64_144,0
001_64_160,0
001_64_176,0
001_64_192,0
001_64_208,1
001_64_224,1
001_64_240,1
001_64_256,1
001_64_272,1
001_64_288,1
001_64_304,1
001_64_320,1
001_64_336,1
001_64_352,1
001_64_368,1
001_64_384,1
001_80_0,0
001_80_16,0
001_80_32,0
001_80_48,0
001_80_64,0
001_80_80,0
001_80_96,0
001_80_112,0
001_80_128,0
001_80_144,0
001_80_160,0
001_80_176,0
001_80_192,0
001_80_208,0
001_80_224,0
001_80_240,1
001_80_256,1
001_80_272,1
001_80_288,0
001_80_304,1
001_80_320,1
001_80_336,1
001_80_352,1
001_80_368,1
001_80_384,1
001_96_0,1
001_96_16,0
001_96_32,0
001_96_48,0
001_96_64,0
001_96_80,0
001_96_96,0
001_96_112,0
001_96_128,0
001_96_144,0
001_96_160,0
001_96_176,0
001_96_192,0
001_96_208,0
001_96_224,0
001_96_240,1
001_96_256,1
001_96_272,1
001_96_288,0
001_96_304,1
001_96_320,1
001_96_336,1
001_96_352,0
001_96_368,0
001_96_384,0
001_112_0,1
001_112_16,0
001_112_32,0
001_112_48,0
001_112_64,0
001_112_80,0
001_112_96,0
001_112_112,0
001_112_128,0
001_112_144,0
001_112_160,0
001_112_176,0
001_112_192,0
001_112_208,0
001_112_224,1
001_112_240,1
001_112_256,1
001_112_272,0
001_112_288,1
001_112_304,1
001_112_320,0
001_112_336,0
001_112_352,0
001_112_368,0
001_112_384,0
001_128_0,1
001_128_16,0
001_128_32,0
001_128_48,0
001_128_64,0
001_128_80,0
001_128_96,0
001_128_112,0
001_128_128,0
001_128_144,0
001_128_160,0
001_128_176,0
001_128_192,0
001_128_208,0
001_128_224,1
001_128_240,1
001_128_256,1
001_128_272,1
001_128_288,1
001_128_304,1
001_128_320,0
001_128_336,0
001_128_352,0
001_128_368,0
001_128_384,0
001_144_0,1
001_144_16,0
001_144_32,0
001_144_48,0
001_144_64,0
001_144_80,0
001_144_96,0
001_144_112,0
001_144_128,0
001_144_144,0
001_144_160,0
001_144_176,0
001_144_192,0
001_144_208,0
001_144_224,1
001_144_240,1
001_144_256,1
001_144_272,1
001_144_288,1
001_144_304,0
001_144_320,0
001_144_336,0
001_144_352,0
001_144_368,0
001_144_384,0
001_160_0,1
001_160_16,0
001_160_32,0
001_160_48,0
001_160_64,0
001_160_80,0
001_160_96,0
001_160_112,0
001_160_128,0
001_160_144,0
001_160_160,0
001_160_176,0
001_160_192,0
001_160_208,0
001_160_224,1
001_160_240,1
001_160_256,1
001_160_272,1
001_160_288,0
001_160_304,0
001_160_320,0
001_160_336,0
001_160_352,0
001_160_368,0
001_160_384,0
001_176_0,0
001_176_16,0
001_176_32,0
001_176_48,0
001_176_64,0
001_176_80,0
001_176_96,0
001_176_112,0
001_176_128,0
001_176_144,0
001_176_160,0
001_176_176,0
001_176_192,0
001_176_208,0
001_176_224,1
001_176_240,1
001_176_256,1
001_176_272,0
001_176_288,0
001_176_304,0
001_176_320,0
001_176_336,0
001_176_352,0
001_176_368,0
001_176_384,0
001_192_0,0
001_192_16,0
001_192_32,0
001_192_48,0
001_192_64,0
001_192_80,0
001_192_96,0
001_192_112,0
001_192_128,0
001_192_144,0
001_192_160,0
001_192_176,0
001_192_192,0
001_192_208,0
001_192_224,1
001_192_240,1
001_192_256,1
001_192_272,0
001_192_288,0
001_192_304,0
001_192_320,0
001_192_336,0
001_192_352,0
001_192_368,0
001_192_384,0
001_208_0,0
001_208_16,0
001_208_32,0
001_208_48,0
001_208_64,0
001_208_80,0
001_208_96,0
001_208_112,0
001_208_128,0
001_208_144,0
001_208_160,0
001_208_176,0
001_208_192,0
001_208_208,0
001_208_224,1
001_208_240,1
001_208_256,1
001_208_272,0
001_208_288,0
001_208_304,0
001_208_320,0
001_208_336,0
001_208_352,0
001_208_368,0
001_208_384,0
001_224_0,0
001_224_16,0
001_224_32,0
001_224_48,0
001_224_64,0
001_224_80,0
001_224_96,0
001_224_112,0
001_224_128,0
001_224_144,0
001_224_160,0
001_224_176,0
001_224_192,0
001_224_208,0
001_224_224,1
001_224_240,1
001_224_256,1
001_224_272,0
001_224_288,0
001_224_304,0
001_224_320,0
001_224_336,0
001_224_352,0
001_224_368,0
001_224_384,0
001_240_0,0
001_240_16,0
001_240_32,0
001_240_48,0
001_240_64,0
001_240_80,0
001_240_96,0
001_240_112,0
001_240_128,0
001_240_144,0
001_240_160,0
001_240_176,0
001_240_192,0
001_240_208,0
001_240_224,1
001_240_240,1
001_240_256,1
001_240_272,0
001_240_288,0
001_240_304,0
001_240_320,0
001_240_336,0
001_240_352,0
001_240_368,0
001_240_384,0
001_256_0,0
001_256_16,0
001_256_32,0
001_256_48,0
001_256_64,0
001_256_80,0
001_256_96,0
001_256_112,0
001_256_128,0
001_256_144,0
001_256_160,0
001_256_176,0
001_256_192,0
001_256_208,0
001_256_224,1
001_256_240,1
001_256_256,1
001_256_272,0
001_256_288,0
001_256_304,0
001_256_320,0
